trial,main_camber,main_thickness,flap_angle,flap_gap,Cl,Cd,abs_Cl_Cd,feasible,time_s
1,0.084076243,0.170373644,23.661174000000003,0.036221836,-1.0506,0.046712,22.49,True,0.10
2,0.029952822599999998,0.0835375628,24.964154999999998,0.0267695695,-0.3963,0.017287,22.92,True,0.10
3,0.065248861,0.16887296000000002,25.951479,0.0117576469,-0.8611,0.034081,25.26,True,0.10
4,0.0214760193,0.1187175224,41.8665075,0.034407019,-0.6444,0.036572,17.62,True,0.10
5,0.0465914859,0.11050601600000001,36.501065999999994,0.020076882999999997,-0.7629,0.029001,26.3,True,0.10
6,0.0888042495,0.08293440956,18.6678858,0.0217889236,-1.0779,0.049329,21.85,True,0.10
7,0.02,0.08,24.5010666,0.01,-0.4181,0.023812,17.56,True,0.10
8,0.0236820462,0.08107212722,27.7733991,0.0139693603,-0.4191,0.021159,19.81,True,0.10
9,0.0271715434,0.0878278178,28.8827232,0.0134527264,-0.4157,0.022762,18.26,True,0.10
10,0.0262570788,0.1021468496,24.5010666,0.0170687428,-0.343,0.017188,19.96,True,0.10
11,0.074591488,0.080000085939404,45.0,0.022887592,-1.2195,0.059432,20.52,True,0.10
12,0.043572164,0.1014492464,36.9620292,0.015418108600000001,-0.736,0.029875,24.64,True,0.10
13,0.046346782,0.08650601444,39.040980899999994,0.0144695581,-0.802,0.033041,24.27,True,0.10
14,0.049014377,0.1345060136,42.501066,0.0140769958,-0.8873,0.038675,22.94,True,0.10
15,0.0325944693,0.1315631156,42.499452000000005,0.014078364400000001,-0.6755,0.038437,17.57,True,0.10
16,0.04607481099999999,0.0897010154,39.8170602,0.0152947882,-0.8028,0.033215,24.17,True,0.10
17,0.049564259199999995,0.111519212,38.837838000000005,0.0199116502,-0.8365,0.03232,25.88,True,0.10
18,0.039591486599999996,0.098506016,39.5010675,0.023076883,-0.7198,0.032978,21.83,True,0.10
19,0.0397906982,0.1033806032,38.88558,0.022217415999999997,-0.719,0.032075,22.42,True,0.10
20,0.0535914859,0.1114621184,39.5010675,0.023076883,-0.9029,0.035695,25.3,True,0.10
