trial,camber,pos,thickness,aoa,Cl,Cd,Cl_Cd,feasible,time_s
1,0.082383741,0.6518682200000001,0.15795056600000001,5.0,1.563,0.115561,13.53,True,0.05
2,0.012796486199999998,0.217687814,0.169677395,5.0,0.7204,0.024879,28.96,True,0.05
3,0.058177107000000006,0.6443648000000002,0.178563311,5.0,1.312,0.079982,16.4,True,0.05
4,0.0018977390999999999,0.39358761200000003,0.32179856749999997,5.0,0.5842,0.017492,33.4,True,0.05
5,0.0341890533,0.3525300800000001,0.27350959399999997,5.0,0.9892,0.045936,21.53,True,0.05
6,0.0884626065,0.21467204780000002,0.1130109722,5.0,1.6499,0.130577,12.64,True,0.05
7,0.0,0.6335876,0.35,5.0,0.5476,0.016118,33.97,True,0.05
8,0.00653542956,0.41431100000000004,0.321582284,5.0,0.6212,0.020677,30.04,True,0.05
9,0.036,0.39358760000000004,0.35,5.0,0.9748,0.048896,19.94,True,0.05
10,0.0,0.8,0.35,5.0,0.545,0.017315,31.48,True,0.05
11,0.0,0.8,0.35,5.0,0.545,0.017315,31.48,True,0.05
12,0.0253627434,0.8,0.35,5.0,0.8799,0.036764,23.93,True,0.05
13,0.0,0.7535876000000001,0.35,5.0,0.5727,0.015726,36.42,True,0.05
14,0.0075564054,0.7794012200000002,0.333082151,5.0,0.6529,0.020658,31.6,True,0.05
15,0.018,0.78678278,0.35,5.0,0.7857,0.029949,26.23,True,0.05
16,0.0063052596,0.759783962,0.336834665,5.0,0.6404,0.020291,31.56,True,0.05
17,0.010163359799999999,0.75279392,0.3346555328,5.0,0.6805,0.023146,29.4,True,0.05
18,0.0,0.8,0.35,5.0,0.545,0.017315,31.48,True,0.05
19,0.009,0.6935875760000001,0.35,5.0,0.6706,0.022454,29.87,True,0.05
20,0.0059313492,0.7688501000000001,0.33612281,5.0,0.6264,0.020701,30.26,True,0.05
21,0.009,0.8,0.35,5.0,0.6885,0.023307,29.54,True,0.05
22,0.009,0.8,0.32299999999999995,5.0,0.6916,0.022293,31.02,True,0.05
23,0.005043186,0.72762014,0.33187387399999996,5.0,0.6156,0.020329,30.28,True,0.05
24,0.0007562870999999999,0.74822264,0.34722774799999995,5.0,0.5543,0.016493,33.61,True,0.05
25,0.00141549003,0.7516492400000001,0.35,5.0,0.5701,0.016898,33.74,True,0.05
26,0.0,0.7235876000000001,0.3390876638,5.0,0.5701,0.016756,34.02,True,0.05
27,0.0045,0.7835876000000002,0.33649999999999997,5.0,0.6035,0.019524,30.91,True,0.05
28,0.001846791,0.7589541200000001,0.34608553999999997,5.0,0.5772,0.016955,34.04,True,0.05
29,0.0,0.7685803400000002,0.34325,5.0,0.5563,0.016033,34.69,True,0.05
30,0.00182516373,0.75737882,0.345806711,5.0,0.5669,0.017561,32.28,True,0.05
