method,problem,seed,best_value,time_seconds
Native_P2,Ackley_10D,0,1.984363,6.66
Native_P2,Ackley_10D,1,2.270120,6.79
Native_P2,Ackley_10D,2,1.791093,6.83
Tandem_v2,Ackley_10D,0,3.669592,14.95
Tandem_v2,Ackley_10D,1,4.632015,26.65
Tandem_v2,Ackley_10D,2,5.988593,33.89
TRust-BO,Ackley_10D,0,3.455998,11.61
TRust-BO,Ackley_10D,1,4.373441,16.60
TRust-BO,Ackley_10D,2,5.314811,17.45
Native_P2,Ackley_50D,0,5.473303,29.15
Native_P2,Ackley_50D,1,5.070320,28.78
Native_P2,Ackley_50D,2,2.764755,28.61
Tandem_v2,Ackley_50D,0,8.184845,44.76
Tandem_v2,Ackley_50D,1,5.653518,37.88
Tandem_v2,Ackley_50D,2,7.326526,211.13
TRust-BO,Ackley_50D,0,8.609894,53.67
TRust-BO,Ackley_50D,1,6.452615,42.11
TRust-BO,Ackley_50D,2,7.403192,53.03
