method,problem,seed,best_value,time_seconds
TRust-BO,Ackley_10D,0,3.518648,10.14
TRust-BO,Ackley_10D,1,4.593007,9.69
TRust-BO,Ackley_10D,2,6.009172,9.58
TRust-BO,Ackley_10D,3,4.376459,9.85
TRust-BO,Ackley_10D,4,5.991007,10.38
TRust-BO,Ackley_50D,0,8.773603,9.12
TRust-BO,Ackley_50D,1,8.746477,8.56
TRust-BO,Ackley_50D,2,7.698754,9.11
TRust-BO,Ackley_50D,3,8.572711,9.14
TRust-BO,Ackley_50D,4,8.323029,8.91
BoTorch_TuRBO,Ackley_10D,0,2.126586,11.82
BoTorch_TuRBO,Ackley_10D,1,1.784412,10.14
BoTorch_TuRBO,Ackley_10D,2,4.027352,7.72
BoTorch_TuRBO,Ackley_10D,3,3.422316,8.91
BoTorch_TuRBO,Ackley_10D,4,1.981149,9.59
BoTorch_TuRBO,Ackley_50D,0,7.555741,95.26
BoTorch_TuRBO,Ackley_50D,1,7.367178,102.34
BoTorch_TuRBO,Ackley_50D,2,7.914099,108.01
BoTorch_TuRBO,Ackley_50D,3,8.877676,139.09
BoTorch_TuRBO,Ackley_50D,4,7.612766,122.50
HEBO,Ackley_10D,0,0.066200,53.81
HEBO,Ackley_10D,1,0.080824,55.65
HEBO,Ackley_10D,2,0.077254,78.84
HEBO,Ackley_10D,3,0.153692,73.43
HEBO,Ackley_10D,4,0.121140,70.46
HEBO,Ackley_50D,0,4.998925,69.76
HEBO,Ackley_50D,1,6.037491,53.67
HEBO,Ackley_50D,2,4.393594,54.56
HEBO,Ackley_50D,3,5.333270,54.22
HEBO,Ackley_50D,4,4.565523,53.78
Random,Ackley_10D,0,6.039911,0.00
Random,Ackley_10D,1,7.410521,0.00
Random,Ackley_10D,2,7.490354,0.00
Random,Ackley_10D,3,7.847454,0.00
Random,Ackley_10D,4,7.648975,0.00
Random,Ackley_50D,0,8.950507,0.00
Random,Ackley_50D,1,9.236143,0.00
Random,Ackley_50D,2,9.020196,0.00
Random,Ackley_50D,3,9.514054,0.00
Random,Ackley_50D,4,9.362129,0.00
