setting,method,problem,seed,best_value,time_seconds
A,TRust-BO,Ackley_50D,0,8.645300,31.90
A,TRust-BO,Ackley_50D,1,7.114283,32.47
A,TRust-BO,Ackley_50D,2,7.488308,31.17
A,TRust-BO,Ackley_50D,3,7.938711,29.98
A,TRust-BO,Ackley_50D,4,8.172659,30.29
A,TRust-BO,Ackley_100D,0,8.190304,35.86
A,TRust-BO,Ackley_100D,1,8.091643,35.50
A,TRust-BO,Ackley_100D,2,8.721189,35.99
A,TRust-BO,Ackley_100D,3,8.889077,34.28
A,TRust-BO,Ackley_100D,4,8.649055,35.41
A,BoTorch_TuRBO,Ackley_50D,0,7.019833,219.46
A,BoTorch_TuRBO,Ackley_50D,1,6.383864,220.31
A,BoTorch_TuRBO,Ackley_50D,2,6.277278,265.64
A,BoTorch_TuRBO,Ackley_50D,3,7.765212,305.14
A,BoTorch_TuRBO,Ackley_50D,4,6.190345,258.68
A,BoTorch_TuRBO,Ackley_100D,0,too_slow,0.00
A,BoTorch_TuRBO,Ackley_100D,1,too_slow,0.00
A,BoTorch_TuRBO,Ackley_100D,2,too_slow,0.00
A,BoTorch_TuRBO,Ackley_100D,3,too_slow,0.00
A,BoTorch_TuRBO,Ackley_100D,4,too_slow,0.00
A,HEBO,Ackley_50D,0,1.786303,185.12
B,TRust-BO,Ackley_10D,0,6.537402,2.28
B,TRust-BO,Ackley_10D,1,7.893384,2.09
B,TRust-BO,Ackley_10D,2,7.323383,2.20
B,TRust-BO,Ackley_10D,3,7.321032,2.26
B,TRust-BO,Ackley_10D,4,7.668687,2.11
B,TRust-BO,Ackley_50D,0,8.863995,2.59
B,TRust-BO,Ackley_50D,1,8.513452,2.67
B,TRust-BO,Ackley_50D,2,8.804182,2.40
B,TRust-BO,Ackley_50D,3,8.846967,2.58
B,TRust-BO,Ackley_50D,4,8.970422,2.51
B,BoTorch_TuRBO,Ackley_10D,0,6.209095,2.66
B,BoTorch_TuRBO,Ackley_10D,1,6.178773,3.01
B,BoTorch_TuRBO,Ackley_10D,2,5.727150,3.19
B,BoTorch_TuRBO,Ackley_10D,3,5.891326,3.31
B,BoTorch_TuRBO,Ackley_10D,4,5.140291,3.39
B,BoTorch_TuRBO,Ackley_50D,0,8.825414,11.77
B,BoTorch_TuRBO,Ackley_50D,1,8.719250,12.37
B,BoTorch_TuRBO,Ackley_50D,2,9.045902,10.41
B,BoTorch_TuRBO,Ackley_50D,3,9.043793,9.99
B,BoTorch_TuRBO,Ackley_50D,4,8.489183,12.08
B,HEBO,Ackley_10D,0,3.664011,12.17
B,HEBO,Ackley_10D,1,4.710079,12.08
B,HEBO,Ackley_10D,2,4.127050,10.66
B,HEBO,Ackley_10D,3,6.476904,10.91
B,HEBO,Ackley_10D,4,4.992199,10.70
B,HEBO,Ackley_50D,0,9.354261,22.73
B,HEBO,Ackley_50D,1,9.553325,19.05
B,HEBO,Ackley_50D,2,9.020593,21.50
B,HEBO,Ackley_50D,3,9.434679,26.78
B,HEBO,Ackley_50D,4,9.340546,22.01
B,Random,Ackley_10D,0,6.039911,0.00
B,Random,Ackley_10D,1,7.535726,0.00
B,Random,Ackley_10D,2,8.682443,0.00
B,Random,Ackley_10D,3,7.847454,0.00
B,Random,Ackley_10D,4,8.556521,0.00
B,Random,Ackley_50D,0,9.336872,0.00
B,Random,Ackley_50D,1,9.692923,0.00
B,Random,Ackley_50D,2,9.776022,0.00
B,Random,Ackley_50D,3,9.573249,0.00
B,Random,Ackley_50D,4,9.573336,0.00
A,HEBO,Ackley_50D,1,too_slow,0.00
A,HEBO,Ackley_50D,2,too_slow,0.00
A,HEBO,Ackley_50D,3,too_slow,0.00
A,HEBO,Ackley_50D,4,too_slow,0.00
A,HEBO,Ackley_100D,0,too_slow,0.00
A,HEBO,Ackley_100D,1,too_slow,0.00
A,HEBO,Ackley_100D,2,too_slow,0.00
A,HEBO,Ackley_100D,3,too_slow,0.00
A,HEBO,Ackley_100D,4,too_slow,0.00
A,Random,Ackley_50D,0,8.950507,0.00
A,Random,Ackley_50D,1,8.879296,0.00
A,Random,Ackley_50D,2,9.020196,0.00
A,Random,Ackley_50D,3,9.072934,0.00
A,Random,Ackley_50D,4,9.321567,0.00
A,Random,Ackley_100D,0,9.608942,0.00
A,Random,Ackley_100D,1,9.123805,0.00
A,Random,Ackley_100D,2,9.715772,0.00
A,Random,Ackley_100D,3,9.511262,0.00
A,Random,Ackley_100D,4,9.686977,0.00
