method,problem,seed,best_value,time_seconds,phase_switch
TandemEngine,Ackley_10D,0,3.240038,68.02,172
TandemEngine,Ackley_10D,1,4.593007,11.10,-1
TandemEngine,Ackley_10D,2,6.009172,10.53,-1
TandemEngine,Ackley_10D,3,4.376459,10.64,-1
TandemEngine,Ackley_10D,4,5.991007,11.06,-1
TRust-BO,Ackley_10D,0,3.518648,11.82,N/A
TRust-BO,Ackley_10D,1,4.593007,11.69,N/A
TRust-BO,Ackley_10D,2,6.009172,10.62,N/A
TRust-BO,Ackley_10D,3,4.376459,10.77,N/A
TRust-BO,Ackley_10D,4,5.991007,10.85,N/A
HEBO,Ackley_10D,0,0.074233,49.45,N/A
HEBO,Ackley_10D,1,0.092434,48.21,N/A
HEBO,Ackley_10D,2,0.175686,47.96,N/A
HEBO,Ackley_10D,3,0.119979,48.02,N/A
HEBO,Ackley_10D,4,0.270638,48.38,N/A
Random,Ackley_10D,0,6.039911,0.00,N/A
Random,Ackley_10D,1,7.410521,0.00,N/A
Random,Ackley_10D,2,7.490354,0.00,N/A
Random,Ackley_10D,3,7.847454,0.00,N/A
Random,Ackley_10D,4,7.648975,0.00,N/A
TandemEngine,Ackley_50D,0,8.645300,34.79,-1
TandemEngine,Ackley_50D,1,6.958447,850.83,464
TandemEngine,Ackley_50D,2,7.488308,45.05,-1
TandemEngine,Ackley_50D,3,7.597587,910.77,492
TandemEngine,Ackley_50D,4,8.172659,33.64,-1
TRust-BO,Ackley_50D,0,8.645300,33.80,N/A
TRust-BO,Ackley_50D,1,7.114283,33.29,N/A
TRust-BO,Ackley_50D,2,7.488308,33.57,N/A
TRust-BO,Ackley_50D,3,7.938711,33.06,N/A
TRust-BO,Ackley_50D,4,8.172659,33.56,N/A
HEBO,Ackley_50D,0,nan,0.00,too_slow
HEBO,Ackley_50D,1,nan,0.00,too_slow
HEBO,Ackley_50D,2,nan,0.00,too_slow
HEBO,Ackley_50D,3,nan,0.00,too_slow
HEBO,Ackley_50D,4,nan,0.00,too_slow
Random,Ackley_50D,0,8.950507,0.00,N/A
Random,Ackley_50D,1,8.879296,0.00,N/A
Random,Ackley_50D,2,9.020196,0.00,N/A
Random,Ackley_50D,3,9.072934,0.00,N/A
Random,Ackley_50D,4,9.321567,0.00,N/A
TandemEngine,Ackley_100D,0,8.190304,14442.91,488
TandemEngine,Ackley_100D,1,8.091643,38.74,500
TandemEngine,Ackley_100D,2,8.413101,2686.50,492
TandemEngine,Ackley_100D,3,8.426370,1510.90,480
TandemEngine,Ackley_100D,4,8.406493,4966.59,484
TRust-BO,Ackley_100D,0,8.190304,39.77,N/A
TRust-BO,Ackley_100D,1,8.091643,38.17,N/A
TRust-BO,Ackley_100D,2,8.721189,38.43,N/A
TRust-BO,Ackley_100D,3,8.889077,36.92,N/A
TRust-BO,Ackley_100D,4,8.649055,37.71,N/A
HEBO,Ackley_100D,0,nan,0.00,too_slow
HEBO,Ackley_100D,1,nan,0.00,too_slow
HEBO,Ackley_100D,2,nan,0.00,too_slow
HEBO,Ackley_100D,3,nan,0.00,too_slow
HEBO,Ackley_100D,4,nan,0.00,too_slow
Random,Ackley_100D,0,9.608942,0.00,N/A
Random,Ackley_100D,1,9.123805,0.00,N/A
Random,Ackley_100D,2,9.715772,0.00,N/A
Random,Ackley_100D,3,9.511262,0.00,N/A
Random,Ackley_100D,4,9.686977,0.00,N/A
