method,problem,seed,best_value,time_seconds,phase_switch
TandemEngine_v2,Ackley_10D,0,3.669592,15.75,139
TandemEngine_v2,Ackley_10D,1,4.632015,26.83,139
TandemEngine_v2,Ackley_10D,2,5.988593,35.03,138
TandemEngine_v2,Ackley_10D,3,4.257316,14.45,138
TandemEngine_v2,Ackley_10D,4,5.760207,21.32,138
TandemEngine_v1,Ackley_10D,0,3.686778,76.33,139
TandemEngine_v1,Ackley_10D,1,4.632431,111.44,139
TandemEngine_v1,Ackley_10D,2,5.938815,223.73,138
TandemEngine_v1,Ackley_10D,3,4.087386,48.05,138
TandemEngine_v1,Ackley_10D,4,5.991007,149.78,138
TRust-BO,Ackley_10D,0,3.455998,11.80,N/A
TRust-BO,Ackley_10D,1,4.373441,16.69,N/A
TRust-BO,Ackley_10D,2,5.314811,17.54,N/A
TRust-BO,Ackley_10D,3,4.376459,15.00,N/A
TRust-BO,Ackley_10D,4,5.408646,17.12,N/A
HEBO,Ackley_10D,0,0.078226,185.97,N/A
HEBO,Ackley_10D,1,0.099956,185.24,N/A
HEBO,Ackley_10D,2,0.102706,185.28,N/A
HEBO,Ackley_10D,3,0.152377,185.62,N/A
HEBO,Ackley_10D,4,0.092512,186.39,N/A
Random,Ackley_10D,0,6.039911,0.00,N/A
Random,Ackley_10D,1,7.410521,0.00,N/A
Random,Ackley_10D,2,7.490354,0.00,N/A
Random,Ackley_10D,3,7.847454,0.00,N/A
Random,Ackley_10D,4,7.648975,0.00,N/A
TandemEngine_v2,Ackley_50D,0,8.184845,45.58,352
TandemEngine_v2,Ackley_50D,1,5.653518,38.43,350
TandemEngine_v2,Ackley_50D,2,7.326526,207.35,350
TandemEngine_v2,Ackley_50D,3,7.573345,223.21,351
TandemEngine_v2,Ackley_50D,4,7.770522,43.16,352
TandemEngine_v1,Ackley_50D,0,7.789396,2863.21,352
TandemEngine_v1,Ackley_50D,1,6.456922,169.28,350
TandemEngine_v1,Ackley_50D,2,7.373326,2245.44,350
TandemEngine_v1,Ackley_50D,3,7.612936,3734.41,351
TandemEngine_v1,Ackley_50D,4,8.106560,2242.51,352
TRust-BO,Ackley_50D,0,8.609894,50.91,N/A
TRust-BO,Ackley_50D,1,6.452615,40.33,N/A
TRust-BO,Ackley_50D,2,7.403192,51.15,N/A
TRust-BO,Ackley_50D,3,7.847230,42.42,N/A
TRust-BO,Ackley_50D,4,8.083082,51.00,N/A
HEBO,Ackley_50D,0,nan,0.00,too_slow
HEBO,Ackley_50D,1,nan,0.00,too_slow
HEBO,Ackley_50D,2,nan,0.00,too_slow
HEBO,Ackley_50D,3,nan,0.00,too_slow
HEBO,Ackley_50D,4,nan,0.00,too_slow
Random,Ackley_50D,0,8.950507,0.00,N/A
Random,Ackley_50D,1,8.879296,0.00,N/A
Random,Ackley_50D,2,9.020196,0.00,N/A
Random,Ackley_50D,3,9.072934,0.00,N/A
Random,Ackley_50D,4,9.321567,0.00,N/A
TandemEngine_v2,Ackley_100D,0,8.170824,278.33,352
TandemEngine_v2,Ackley_100D,1,7.158569,526.45,350
TandemEngine_v2,Ackley_100D,2,8.593914,683.19,351
TandemEngine_v2,Ackley_100D,3,7.522310,49.09,352
TandemEngine_v2,Ackley_100D,4,8.015733,386.66,353
TandemEngine_v1,Ackley_100D,0,8.174973,1678.39,352
TandemEngine_v1,Ackley_100D,1,7.559739,4848.07,350
TandemEngine_v1,Ackley_100D,2,8.522830,7944.85,351
TandemEngine_v1,Ackley_100D,3,7.821430,244.51,352
TandemEngine_v1,Ackley_100D,4,8.362463,5647.29,353
TRust-BO,Ackley_100D,0,8.142270,48.07,N/A
TRust-BO,Ackley_100D,1,8.033251,48.65,N/A
TRust-BO,Ackley_100D,2,8.715509,47.76,N/A
TRust-BO,Ackley_100D,3,8.744579,45.38,N/A
TRust-BO,Ackley_100D,4,8.633390,45.79,N/A
HEBO,Ackley_100D,0,nan,0.00,too_slow
HEBO,Ackley_100D,1,nan,0.00,too_slow
HEBO,Ackley_100D,2,nan,0.00,too_slow
HEBO,Ackley_100D,3,nan,0.00,too_slow
HEBO,Ackley_100D,4,nan,0.00,too_slow
Random,Ackley_100D,0,9.608942,0.00,N/A
Random,Ackley_100D,1,9.123805,0.00,N/A
Random,Ackley_100D,2,9.715772,0.00,N/A
Random,Ackley_100D,3,9.511262,0.00,N/A
Random,Ackley_100D,4,9.686977,0.00,N/A
